SUBJECT,TIME,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,PZ,T5',T6',O1',O2',"P3""","P4""","PZ""",OZ,I,"CB1""","CB2""",CB1,CB2
CBA,5,71.9306,-39.6977,45.6377,9.2761,45.1349,9.7266,5.2062,-15.0179,-9.9323,-20.6965,33.2433,-42.953,13.5865,49.1981,17.9812,58.3116,30.7497,23.7501,-50.3896,17.2797,25.2666,-41.5383,41.8577,48.2045,49.1951,51.0993,20.0727,12.1093,42.7896,0.5229,-4.7094
CBA,6,70.6322,-38.3947,44.7766,10.5888,44.2602,10.5082,4.512,-15.3651,-7.1685,-21.8318,31.2778,-41.4837,11.4367,53.4052,12.1921,57.7831,30.2195,23.6634,-59.4805,21.1872,25.527,-43.2691,41.684,47.2316,49.2821,51.626,21.0244,16.1167,45.1189,2.9629,-7.413
CBA,7,69.3338,-36.4837,44.0878,11.1138,43.5604,10.5082,4.2517,-15.5387,-2.591,-18.8627,29.4831,-40.6195,10.1469,53.1476,5.9645,52.41,29.7777,24.0101,-63.9827,19.5374,27.0899,-36.6056,42.5525,48.3814,50.412,54.3478,23.5335,22.8247,49.3461,6.7973,-6.1048
CBA,8,68.3817,-34.6595,44.0017,10.5888,43.1231,9.6398,4.3385,-16.1464,2.6774,-13.0117,28.4576,-40.4466,9.9749,47.996,1.6665,44.6586,29.6893,24.6169,-61.8182,10.1594,29.7815,-23.9711,44.3761,50.4157,52.2372,58.2988,26.9943,30.6652,54.436,11.1545,-1.1337
CBA,9,68.0355,-33.5302,44.3461,9.6262,43.2105,8.1634,5.1194,-17.6221,6.6503,-6.8988,28.714,-40.4466,11.5227,39.8393,0.7894,37.5238,29.5126,25.2236,-54.1126,-4.0811,32.039,-11.0769,46.2866,52.0078,53.8018,61.9864,30.2821,37.8959,58.922,14.6403,4.971
CBA,10,67.9489,-33.4434,44.6044,8.576,43.4729,6.4265,6.2474,-19.5319,6.7367,-3.0564,29.9104,-40.6195,14.1884,32.8846,5.1751,33.2957,28.8941,25.3103,-44.2424,-17.1929,31.8654,-1.7308,47.2419,52.0078,54.2363,63.8302,32.099,42.7745,60.9924,15.9474,8.3723
CBA,11,68.0355,-34.2252,45.035,7.3509,44.0852,4.8633,7.6357,-21.3549,2.0728,-2.4452,31.1069,-41.0516,17.3701,29.536,16.3146,32.1507,28.3639,24.9636,-35.2381,-25.5288,29.9552,3.7211,47.5024,50.9464,53.541,63.04,32.1855,43.4714,60.0435,12.9845,7.5874
CBA,12,68.122,-35.4413,45.6377,5.6882,45.0474,3.8212,9.6314,-22.5702,-4.7502,-3.8424,31.9614,-41.4837,20.3797,30.0512,32.8047,31.446,28.2755,24.5302,-28.658,-28.568,29.6079,6.4038,48.4577,49.4428,52.498,60.406,30.3686,39.2898,57.8867,6.1873,4.7094
CBA,13,68.0355,-36.918,45.8099,4.113,45.6597,3.2133,11.9742,-23.0043,-9.155,-5.327,31.9614,-41.9159,22.4435,33.9149,46.1371,30.3009,28.0988,24.3568,-26.0606,-25.8761,32.3863,7.1827,50.3682,48.6467,51.8896,58.2988,27.5134,33.8014,56.3339,0.1743,1.5698
CBA,14,67.6027,-38.829,45.6377,2.9754,45.4848,2.9527,13.4493,-22.1362,-8.2049,-5.5016,31.2778,-42.0023,23.3894,39.5817,48.8562,30.0366,27.8337,24.4435,-27.7922,-19.7979,37.2486,6.75,52.4524,49.1774,52.1503,58.2988,25.0043,31.1008,55.73,-1.0457,-1.4826
CBA,15,66.9102,-40.9138,45.2072,2.3628,44.5226,2.9527,13.1022,-20.4,-2.6774,-3.9297,29.9104,-41.743,23.3034,44.304,40.1726,30.6532,27.7454,24.6169,-32.6407,-15.1089,41.6768,5.5384,53.5814,50.9464,53.2803,60.4938,23.3604,32.3204,55.6437,2.9629,-3.4885
CBA,16,65.7849,-42.3905,44.6905,2.1003,42.9481,2.8659,11.1065,-18.4034,4.5775,-1.4846,28.2013,-41.138,21.8416,46.1929,24.9982,31.8864,28.0105,24.9636,-38.0952,-15.0221,43.6738,4.2404,53.3208,53.5114,54.584,63.6546,23.1009,35.8051,55.5575,9.8473,-3.6629
CBA,17,64.9193,-42.6511,44.0878,2.3628,41.2862,2.779,8.4166,-17.1013,10.8823,0.4366,26.9194,-40.4466,19.1759,44.8192,9.473,33.0315,28.1872,25.3103,-42.0779,-18.4954,42.8924,2.9423,52.0182,55.4573,55.5401,66.8153,24.6582,40.4223,55.4712,16.906,-1.8314
CBA,18,64.3134,-41.2613,43.7433,3.2379,40.0616,2.6053,6.4209,-16.5804,15.2871,1.3972,26.7485,-39.496,15.6503,41.4706,-1.4034,33.9123,28.0988,25.8304,-43.4632,-23.0975,40.7217,2.5096,50.5419,56.5187,56.0616,69.5371,27.1673,44.7782,55.2124,22.2218,0.5233
CBA,19,64.3134,-38.7422,43.9155,4.113,39.5368,2.258,5.1194,-16.9277,17.0144,1.6592,27.1758,-38.6317,12.7266,37.6069,-5.5259,34.2647,28.2755,26.1771,-41.645,-27.7865,38.2906,3.2884,49.3261,56.6071,56.0616,71.1175,29.5034,46.6077,55.3849,23.9647,2.5291
CBA,0,337.3208,227.5017,144.0602,60.2072,-15.4823,18.6716,19.176,-47.0502,-76.1763,-49.4271,192.3669,-12.2723,-6.3633,-85.0878,-24.6474,-52.9385,112.9255,12.2218,0.6061,-35.4277,-49.6648,-64.3844,8.0763,-52.5385,-43.1979,-103.5155,-89.3753,-94.3478,-67.2901,-49.6723,-54.5071
CBA,1,338.8789,228.5441,142.5964,61.1698,-16.357,18.4111,18.7422,-46.9634,-76.5218,-50.0384,194.4179,-13.1365,-6.3633,-87.6636,-24.3843,-52.2338,112.572,12.1351,0.6061,-36.9907,-50.0122,-65.5959,7.8158,-52.2731,-43.1979,-103.5155,-85.3954,-94.5221,-64.8746,-46.2737,-54.2454
CBA,2,340.1773,226.5462,141.3908,65.1953,-16.7944,19.2795,18.829,-46.3558,-75.3127,-49.6891,195.1015,-15.5564,-6.1913,-90.2394,-22.4546,-51.1768,112.8371,12.5685,2.4242,-38.7274,-48.5361,-65.8555,8.771,-51.4771,-42.4156,-102.4619,-81.675,-90.0791,-62.5453,-40.5222,-52.5012
CBA,3,340.3504,221.1605,140.0992,70.446,-16.9693,20.4954,19.7834,-45.3141,-72.2034,-47.9426,194.076,-20.569,-6.0193,-92.7293,-18.946,-50.0317,112.7487,13.6953,4.2424,-40.6377,-45.063,-64.9901,11.0289,-49.7966,-40.7642,-99.9157,-78.1277,-81.1932,-60.3023,-32.7663,-50.2337
CBA,4,338.8789,213.6032,138.2909,74.8215,-17.2317,21.3638,21.6924,-44.3592,-67.2805,-45.2354,191.5123,-27.6558,-6.1913,-95.391,-14.7358,-49.5032,111.8651,14.9955,3.9827,-42.9822,-39.9403,-64.1248,14.3289,-47.9391,-38.7651,-96.0525,-75.186,-69.2581,-58.4906,-24.4004,-49.9721
CBA,5,336.4552,206.0459,136.3104,76.9217,-17.6691,21.798,23.7748,-43.7515,-62.1848,-42.8776,188.0939,-34.3969,-6.8792,-97.9668,-11.0519,-50.0317,110.6281,16.1223,0.8658,-45.4135,-34.3834,-63.8651,17.7157,-46.524,-36.8529,-92.5406,-74.5804,-58.4556,-57.024,-16.9932,-52.8501
CBA,6,333.8585,200.2258,134.5882,76.3092,-18.1064,21.8849,25.4234,-43.4043,-57.6936,-41.655,184.2483,-38.9774,-7.9971,-100.0275,-8.3327,-51.5291,109.6561,16.9891,-3.8961,-47.3238,-29.0869,-64.7305,20.7552,-45.9048,-35.3753,-90.17,-77.2625,-51.0506,-56.7652,-11.2416,-57.9955
CBA,7,331.3482,196.9249,132.7799,73.2463,-18.4563,21.6243,26.6382,-43.4911,-54.6708,-42.0917,180.2318,-40.1874,-9.373,-101.7447,-7.0171,-53.467,108.5074,17.6825,-8.9177,-48.3658,-25.2666,-66.9805,22.6657,-46.1702,-34.7669,-89.5554,-82.0211,-47.1304,-58.0593,-7.233,-63.6643
CBA,8,328.9246,196.9249,131.5744,68.6957,-18.8062,21.277,26.9853,-43.8383,-54.8435,-43.8382,176.4716,-37.8539,-10.6628,-102.6033,-8.0696,-55.1406,107.2703,17.9426,-12.8139,-48.9736,-24.8324,-69.4036,22.4052,-47.1431,-35.0276,-91.1358,-87.1258,-48.6985,-58.2318,-7.0587,-66.8911
CBA,9,327.1934,200.3996,131.5744,62.8325,-18.6313,21.277,26.0308,-44.2724,-59.3346,-47.0693,174.0788,-32.1499,-11.2647,-102.0881,-11.5781,-56.2857,106.8285,17.7692,-14.5455,-49.4946,-28.6528,-71.567,19.7131,-48.7352,-36.5921,-95.5257,-91.7114,-58.02,-57.1103,-12.8102,-66.2806
